id,tag_type,tag_id,tag_position,timestamp,timestamp_h
67,313B084E115B02,25A722,BB94,1725210696985,2024-09-01T17:11:36.985Z
68,CCFFFF20051000,30003034313B084E115B0225A722,BA95,1725210697515,2024-09-01T17:11:37.514Z
69,CCFFFF20051000,30003034313B084E115B0225A722,B996,1725210697977,2024-09-01T17:11:37.976Z
70,CCFFFF20051000,30003034313B084E115B0225A722,BA95,1725210698520,2024-09-01T17:11:38.519Z
350,64260591010EB7,B7,B778,1726924505929,2024-09-21T13:15:05.928Z
71,CCFFFF20051000,30003034313B084E115B0225A722,BB94,1725210698999,2024-09-01T17:11:38.998Z
72,CCFFFF,FFFF,FFFF,1725210699878,2024-09-01T17:11:39.877Z
73,20051000300030,34313B084E115B0225A722,B996,1725210699894,2024-09-01T17:11:39.894Z
74,CCFFFF20051000,30003034313B084E115B0225A722,B897,1725210700422,2024-09-01T17:11:40.422Z
75,CCFFFF20051000,30003034313B084E,115B,1725210701029,2024-09-01T17:11:41.029Z
76,0225A722B897,B897,B897,1725210701047,2024-09-01T17:11:41.046Z
77,CCFFFF20051000,30003034313B084E115B0225A7,22B8,1725210701637,2024-09-01T17:11:41.636Z
78,97,97,97,1725210701652,2024-09-01T17:11:41.651Z
79,CCFFFF20051000,30003034313B084E115B0225A722,B897,1725210702115,2024-09-01T17:11:42.115Z
80,CCFFFF20051000,30003034313B084E115B0225A722,BA95,1725210702867,2024-09-01T17:11:42.866Z
81,CCFFFF20051000,30003034313B084E115B0225A722,B996,1725210703363,2024-09-01T17:11:43.362Z
82,CCFFFF20051000,30003034313B084E,115B,1725210703905,2024-09-01T17:11:43.905Z
83,0225A722B699,B699,B699,1725210703921,2024-09-01T17:11:43.920Z
84,CCFFFF20051000,30003034313B084E115B0225A722,B897,1725210704992,2024-09-01T17:11:44.991Z
85,CCFFFF20051000,30003034313B084E115B0225A722,B996,1725210706110,2024-09-01T17:11:46.110Z
86,CCFFFF20051000,1000,1000,1725210706574,2024-09-01T17:11:46.573Z
87,30003034313B08,4E115B0225A722,BA95,1725210706590,2024-09-01T17:11:46.590Z
88,CCFFFF20051000,30003034313B084E115B0225A722,BB94,1725210708317,2024-09-01T17:11:48.316Z
89,CCFFFF20051000,3400E200470FD6906821202F0114,BB87,1725210709196,2024-09-01T17:11:49.195Z
90,CCFF,CCFF,CCFF,1725210709468,2024-09-01T17:11:49.467Z
91,FF200510003000,3034313B084E115B0225A722,BA95,1725210709487,2024-09-01T17:11:49.486Z
92,CCFFFF20051000,30003034313B084E115B0225A722,B897,1725210709899,2024-09-01T17:11:49.898Z
93,CCFFFF20051000,3400E200470FD6906821202F0114,B989,1725210710282,2024-09-01T17:11:50.281Z
94,CCFFFF20051000,30003034313B084E115B0225A722,BA95,1725210710427,2024-09-01T17:11:50.426Z
95,CCFFFF20051000,3400E2004712C7B068214F41010F,BC36,1725210710761,2024-09-01T17:11:50.761Z
96,CCFFFF20051000,3400E2004712C7B068214F41010FBF33CCFFFF200510003400E200470FD69068,2120,1725210711225,2024-09-01T17:11:51.225Z
97,2F0114BE84,BE84,BE84,1725210711242,2024-09-01T17:11:51.241Z
98,CCFFFF20051000,3400E2004712C7B068214F41010F,B939,1725210711753,2024-09-01T17:11:51.753Z
99,CCFFFF20051000,3400E200470FD6906821202F0114,BE84,1725210711768,2024-09-01T17:11:51.768Z
100,CCFFFF20051000,3400E200,470F,1725210712217,2024-09-01T17:11:52.216Z
101,D6906821202F01,14BC86CCFFFF200510003400E2004712C7B068214F41010F,BA38,1725210712232,2024-09-01T17:11:52.231Z
102,FFFD,FFFD,FFFD,1725210721258,2024-09-01T17:12:01.258Z
103,CCFFFF20051000,30003BE300000196EAA800000029,BBA6,1725210727219,2024-09-01T17:12:07.218Z
104,CCFFFF20,FF20,FF20,1725210728225,2024-09-01T17:12:08.224Z
105,0510003400E200,4712C7B068214F41010F,B63C,1725210728241,2024-09-01T17:12:08.241Z
106,CCFFFF20051000,30003BE300000196EAA800000029,B7AA,1725210728448,2024-09-01T17:12:08.447Z
107,CCFFFF20051000,3400E200470FD6906821202F0114,BA88,1725210728576,2024-09-01T17:12:08.576Z
108,CCFFFF20051000,3400E200470FD6906821202F0114,BF83,1725210729072,2024-09-01T17:12:09.071Z
109,CCFFFF20051000,3400E2004712C7B068214F41010F,B939,1725210729487,2024-09-01T17:12:09.487Z
110,CCFFFF20051000,30003BE300000196EAA8,0000,1725210729695,2024-09-01T17:12:09.695Z
111,0029B8A9,B8A9,B8A9,1725210729710,2024-09-01T17:12:09.710Z
112,CCFFFF20051000,3400E200470FD6906821202F0114,B88A,1725210729918,2024-09-01T17:12:09.917Z
113,CC,CC,CC,1725210729982,2024-09-01T17:12:09.982Z
114,FFFF2005100034,00E2004712C7B068214F41010F,B83A,1725210729997,2024-09-01T17:12:09.997Z
115,CCFFFF20051000,30003BE300000196EAA800000029,B6AB,1725210730143,2024-09-01T17:12:10.142Z
116,CCFFFF20051000,3400E200470FD6906821202F0114C280CCFFFF2005100034,00E2,1725210730446,2024-09-01T17:12:10.446Z
117,004712C7B06821,4F41010F,BA38,1725210730462,2024-09-01T17:12:10.461Z
118,CCFFFF20051000,3400E200470FD6906821202F0114,BB87,1725210730973,2024-09-01T17:12:10.972Z
119,CCFFFF20051000,3400E2004712C7B068214F41010F,BE34,1725210731183,2024-09-01T17:12:11.182Z
120,CCFFFF20051000,30003BE300000196EAA800000029,B9A8,1725210731469,2024-09-01T17:12:11.468Z
121,CCFFFF20,FF20,FF20,1725210731756,2024-09-01T17:12:11.756Z
122,0510003400E200,470FD6906821202F0114,BB87,1725210731772,2024-09-01T17:12:11.772Z
123,CCFFFF,FFFF,FFFF,1725210731980,2024-09-01T17:12:11.980Z
124,200510003400E2,004712C7B068214F41010F,B939,1725210731996,2024-09-01T17:12:11.995Z
